active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,1060709.1,XRP,Ripple,,0.40360,8,0.41966,-1,0.38913,PAX,PAX,STANDARD,1e-08,0.1,0.41600,USDⓈ,USDⓈ,0.416,,PAX,Paxos Standard,,TRADING,XRPPAX,0.00001,430010.495856,1060709.10000,0,0.40341000,1799.70000000,0.40504000,10000.00000000,2019-07-01T03:31:45.853045
True,0.0,1060709.1,XRP,Ripple,,0.40360,8,0.41966,-1,0.38913,PAX,PAX,STANDARD,1e-08,0.1,0.41600,USDⓈ,USDⓈ,0.416,,PAX,Paxos Standard,,TRADING,XRPPAX,0.00001,430010.495856,1060709.10000,0,0.40504000,137.90000000,0.40633000,4018.40000000,2019-07-01T03:37:09.420003
True,0.0,1060709.1,XRP,Ripple,,0.40360,8,0.41966,-1,0.38913,PAX,PAX,STANDARD,1e-08,0.1,0.41600,USDⓈ,USDⓈ,0.416,,PAX,Paxos Standard,,TRADING,XRPPAX,0.00001,430010.495856,1060709.10000,0,0.40540000,269.80000000,0.40670000,1612.10000000,2019-07-01T03:42:34.912820
True,0.0,1061589.0,XRP,Ripple,,0.40590,8,0.41966,-1,0.38913,PAX,PAX,STANDARD,1e-08,0.1,0.41394,USDⓈ,USDⓈ,0.41394,,PAX,Paxos Standard,,TRADING,XRPPAX,0.00001,430364.744252,1061589.00000,0,0.40498000,269.30000000,0.40625000,94.80000000,2019-07-01T03:47:59.837101
True,0.0,1061589.0,XRP,Ripple,,0.40590,8,0.41966,-1,0.38913,PAX,PAX,STANDARD,1e-08,0.1,0.41394,USDⓈ,USDⓈ,0.41394,,PAX,Paxos Standard,,TRADING,XRPPAX,0.00001,430364.744252,1061589.00000,0,0.40519000,1762.80000000,0.40627000,133.30000000,2019-07-01T03:53:23.687655
True,0.0,1061589.0,XRP,Ripple,,0.40590,8,0.41966,-1,0.38913,PAX,PAX,STANDARD,1e-08,0.1,0.41394,USDⓈ,USDⓈ,0.41394,,PAX,Paxos Standard,,TRADING,XRPPAX,0.00001,430364.744252,1061589.00000,0,0.40576000,1906.50000000,0.40684000,4355.50000000,2019-07-01T03:58:48.626384
True,0.0,1061589.0,XRP,Ripple,,0.40590,8,0.41966,-1,0.38913,PAX,PAX,STANDARD,1e-08,0.1,0.41394,USDⓈ,USDⓈ,0.41394,,PAX,Paxos Standard,,TRADING,XRPPAX,0.00001,430364.744252,1061589.00000,0,0.40690000,287.90000000,0.40794000,148.20000000,2019-07-01T04:04:13.119400
True,0.0,1062555.7,XRP,Ripple,,0.40813,8,0.41966,-1,0.38913,PAX,PAX,STANDARD,1e-08,0.1,0.41275,USDⓈ,USDⓈ,0.41275,,PAX,Paxos Standard,,TRADING,XRPPAX,0.00001,430757.755745,1062555.70000,0,0.40671000,1638.70000000,0.40797000,269.00000000,2019-07-01T04:09:38.967925
True,0.0,1066040.5,XRP,Ripple,,0.40749,8,0.41966,-1,0.38913,PAX,PAX,STANDARD,1e-08,0.1,0.41863,USDⓈ,USDⓈ,0.41863,,PAX,Paxos Standard,,TRADING,XRPPAX,0.00001,432171.384552,1066040.50000,0,0.40669000,264.70000000,0.40742000,5400.10000000,2019-07-01T04:15:02.241015
True,0.0,1076509.0,XRP,Ripple,,0.40614,8,0.41966,-1,0.38913,PAX,PAX,STANDARD,1e-08,0.1,0.41863,USDⓈ,USDⓈ,0.41863,,PAX,Paxos Standard,,TRADING,XRPPAX,0.00001,436422.627222,1076509.00000,0,0.40580000,450.00000000,0.40618000,10000.00000000,2019-07-01T04:20:25.700467
