active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,34734.451,ZEC,Zcash,,0.009489,8,0.009614,-1,0.009301,BTC,BTC,STANDARD,1e-08,0.001,0.009423,BTC,BTC,0.009423,,BTC,Bitcoin,฿,TRADING,ZECBTC,0.000001,328.70422133,34734.451000,0,0.00948100,0.09700000,0.00948900,18.27300000,2019-07-01T03:31:45.853045
True,0.0,34674.453,ZEC,Zcash,,0.009508,8,0.009614,-1,0.009301,BTC,BTC,STANDARD,1e-08,0.001,0.009414,BTC,BTC,0.009414,,BTC,Bitcoin,฿,TRADING,ZECBTC,0.000001,328.14630871,34674.453000,0,0.00950200,4.84500000,0.00951300,0.21800000,2019-07-01T03:37:09.420003
True,0.0,34459.295,ZEC,Zcash,,0.009518,8,0.009614,-1,0.009301,BTC,BTC,STANDARD,1e-08,0.001,0.009444,BTC,BTC,0.009444,,BTC,Bitcoin,฿,TRADING,ZECBTC,0.000001,326.12056845,34459.295000,0,0.00950900,0.61400000,0.00951900,0.54900000,2019-07-01T03:42:34.912820
True,0.0,34386.514,ZEC,Zcash,,0.009490,8,0.009614,-1,0.009301,BTC,BTC,STANDARD,1e-08,0.001,0.009401,BTC,BTC,0.009401,,BTC,Bitcoin,฿,TRADING,ZECBTC,0.000001,325.44335307,34386.514000,0,0.00949100,5.51500000,0.00950700,0.68200000,2019-07-01T03:47:59.837101
True,0.0,34316.161,ZEC,Zcash,,0.009505,8,0.009614,-1,0.009301,BTC,BTC,STANDARD,1e-08,0.001,0.009407,BTC,BTC,0.009407,,BTC,Bitcoin,฿,TRADING,ZECBTC,0.000001,324.78454986,34316.161000,0,0.00948800,0.47400000,0.00950300,0.14000000,2019-07-01T03:53:23.687655
True,0.0,34184.601,ZEC,Zcash,,0.009487,8,0.009614,-1,0.009301,BTC,BTC,STANDARD,1e-08,0.001,0.009423,BTC,BTC,0.009423,,BTC,Bitcoin,฿,TRADING,ZECBTC,0.000001,323.54989783,34184.601000,0,0.00948800,0.81100000,0.00950200,0.58700000,2019-07-01T03:58:48.626384
True,0.0,34024.16,ZEC,Zcash,,0.009501,8,0.009614,-1,0.009301,BTC,BTC,STANDARD,1e-08,0.001,0.009414,BTC,BTC,0.009414,,BTC,Bitcoin,฿,TRADING,ZECBTC,0.000001,322.04529442,34024.160000,0,0.00948600,0.32900000,0.00949700,0.28100000,2019-07-01T04:04:13.119400
True,0.0,33950.392,ZEC,Zcash,,0.009505,8,0.009614,-1,0.009301,BTC,BTC,STANDARD,1e-08,0.001,0.009423,BTC,BTC,0.009423,,BTC,Bitcoin,฿,TRADING,ZECBTC,0.000001,321.35930222,33950.392000,0,0.00949300,0.60900000,0.00951500,24.84400000,2019-07-01T04:09:38.967925
True,0.0,33922.463,ZEC,Zcash,,0.009489,8,0.009614,-1,0.009301,BTC,BTC,STANDARD,1e-08,0.001,0.009417,BTC,BTC,0.009417,,BTC,Bitcoin,฿,TRADING,ZECBTC,0.000001,321.1020181,33922.463000,0,0.00949000,8.20900000,0.00949700,0.60900000,2019-07-01T04:15:02.241015
True,0.0,33704.146,ZEC,Zcash,,0.009501,8,0.009614,-1,0.009301,BTC,BTC,STANDARD,1e-08,0.001,0.009402,BTC,BTC,0.009402,,BTC,Bitcoin,฿,TRADING,ZECBTC,0.000001,319.05772901,33704.146000,0,0.00949600,0.61100000,0.00950700,8.28100000,2019-07-01T04:20:25.700467
True,0.0,33491.986,ZEC,Zcash,,0.009515,8,0.009614,-1,0.009301,BTC,BTC,STANDARD,1e-08,0.001,0.009400,BTC,BTC,0.0094,,BTC,Bitcoin,฿,TRADING,ZECBTC,0.000001,317.0660737,33491.986000,0,0.00949300,1.32700000,0.00951200,2.38400000,2019-07-01T04:25:49.281416
True,0.0,33603.559,ZEC,Zcash,,0.009485,8,0.009614,-1,0.009301,BTC,BTC,STANDARD,1e-08,0.001,0.009401,BTC,BTC,0.009401,,BTC,Bitcoin,฿,TRADING,ZECBTC,0.000001,318.12918724,33603.559000,0,0.00947700,1.30800000,0.00948900,27.74100000,2019-07-01T04:31:13.431888
