active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,17377.64996,ZEC,Zcash,,103.75,8,111.90,-1,103.00,USDT,USDT,STANDARD,1e-08,1e-05,111.23,USDⓈ,USDⓈ,111.23,,USDT,TetherUS,,TRADING,ZECUSDT,0.01,1863825.195963,17377.65,0,103.45000000,3.80225000,103.74000000,40.00000000,2019-07-01T03:31:45.853045
True,0.0,17337.90261,ZEC,Zcash,,104.10,8,111.90,-1,103.00,USDT,USDT,STANDARD,1e-08,1e-05,111.09,USDⓈ,USDⓈ,111.09,,USDT,TetherUS,,TRADING,ZECUSDT,0.01,1859322.2201091,17337.91,0,103.76000000,1.52747000,104.03000000,4.78343000,2019-07-01T03:37:09.420003
True,0.0,17320.54608,ZEC,Zcash,,103.95,8,111.90,-1,103.00,USDT,USDT,STANDARD,1e-08,1e-05,111.07,USDⓈ,USDⓈ,111.07,,USDT,TetherUS,,TRADING,ZECUSDT,0.01,1857375.7099394,17320.55,0,103.88000000,1.52824000,104.13000000,0.30000000,2019-07-01T03:42:34.912820
True,0.0,17271.56835,ZEC,Zcash,,104.08,8,111.90,-1,103.00,USDT,USDT,STANDARD,1e-08,1e-05,110.50,USDⓈ,USDⓈ,110.5,,USDT,TetherUS,,TRADING,ZECUSDT,0.01,1851834.5978225,17271.57,0,103.97000000,9.76631000,104.32000000,1.52272000,2019-07-01T03:47:59.837101
True,0.0,17239.94594,ZEC,Zcash,,104.23,8,111.90,-1,103.00,USDT,USDT,STANDARD,1e-08,1e-05,110.50,USDⓈ,USDⓈ,110.5,,USDT,TetherUS,,TRADING,ZECUSDT,0.01,1848297.8976643,17239.95,0,103.95000000,1.52190000,104.30000000,7.67322000,2019-07-01T03:53:23.687655
True,0.0,17196.72921,ZEC,Zcash,,104.26,8,111.90,-1,103.00,USDT,USDT,STANDARD,1e-08,1e-05,110.62,USDⓈ,USDⓈ,110.62,,USDT,TetherUS,,TRADING,ZECUSDT,0.01,1843416.3294505,17196.73,0,104.04000000,1.52385000,104.27000000,4.04475000,2019-07-01T03:58:48.626384
True,0.0,17208.90968,ZEC,Zcash,,104.73,8,111.90,-1,103.00,USDT,USDT,STANDARD,1e-08,1e-05,110.67,USDⓈ,USDⓈ,110.67,,USDT,TetherUS,,TRADING,ZECUSDT,0.01,1844598.5685481,17208.91,0,104.44000000,3.74991000,104.73000000,0.08234000,2019-07-01T04:04:13.119400
True,0.0,17224.72093,ZEC,Zcash,,104.96,8,111.90,-1,103.00,USDT,USDT,STANDARD,1e-08,1e-05,110.82,USDⓈ,USDⓈ,110.82,,USDT,TetherUS,,TRADING,ZECUSDT,0.01,1846249.1486123,17224.73,0,104.50000000,1.52082000,104.93000000,4.27475000,2019-07-01T04:09:38.967925
True,0.0,17227.45296,ZEC,Zcash,,104.78,8,111.90,-1,103.00,USDT,USDT,STANDARD,1e-08,1e-05,111.15,USDⓈ,USDⓈ,111.15,,USDT,TetherUS,,TRADING,ZECUSDT,0.01,1846477.5989253,17227.46,0,104.36000000,1.52384000,104.72000000,3.56978000,2019-07-01T04:15:02.241015
True,0.0,17229.10673,ZEC,Zcash,,104.31,8,111.90,-1,103.00,USDT,USDT,STANDARD,1e-08,1e-05,111.23,USDⓈ,USDⓈ,111.23,,USDT,TetherUS,,TRADING,ZECUSDT,0.01,1846622.5197669,17229.11,0,104.28000000,1.52266000,104.62000000,0.95580000,2019-07-01T04:20:25.700467
True,0.0,17234.17599,ZEC,Zcash,,104.26,8,111.90,-1,103.00,USDT,USDT,STANDARD,1e-08,1e-05,110.74,USDⓈ,USDⓈ,110.74,,USDT,TetherUS,,TRADING,ZECUSDT,0.01,1846980.4025317,17234.18,0,104.10000000,0.00001000,104.12000000,6.85246000,2019-07-01T04:25:49.281416
True,0.0,17463.49864,ZEC,Zcash,,104.23,8,111.90,-1,103.00,USDT,USDT,STANDARD,1e-08,1e-05,111.37,USDⓈ,USDⓈ,111.37,,USDT,TetherUS,,TRADING,ZECUSDT,0.01,1870755.3854382,17463.50,0,104.12000000,6.27186000,104.23000000,0.00001000,2019-07-01T04:31:13.431888
True,0.0,17533.92597,ZEC,Zcash,,105.00,8,111.90,-1,103.00,USDT,USDT,STANDARD,1e-08,1e-05,111.35,USDⓈ,USDⓈ,111.35,,USDT,TetherUS,,TRADING,ZECUSDT,0.01,1877853.6987493,17533.93,0,104.84000000,7.50000000,105.14000000,4.34028000,2019-07-01T04:36:38.444339
True,0.0,17349.97855,ZEC,Zcash,,104.84,8,111.90,-1,103.00,USDT,USDT,STANDARD,1e-08,1e-05,111.00,USDⓈ,USDⓈ,111.0,,USDT,TetherUS,,TRADING,ZECUSDT,0.01,1857075.8095292,17349.98,0,104.86000000,20.82798000,105.16000000,1.51882000,2019-07-01T04:42:02.003745
True,0.0,17579.72257,ZEC,Zcash,,105.32,8,111.90,-1,103.00,USDT,USDT,STANDARD,1e-08,1e-05,111.00,USDⓈ,USDⓈ,111.0,,USDT,TetherUS,,TRADING,ZECUSDT,0.01,1881276.1498182,17579.73,0,105.31000000,1.11970000,105.46000000,48.79073000,2019-07-01T04:47:26.497829
True,0.0,17752.88676,ZEC,Zcash,,105.92,8,111.90,-1,103.00,USDT,USDT,STANDARD,1e-08,1e-05,111.27,USDⓈ,USDⓈ,111.27,,USDT,TetherUS,,TRADING,ZECUSDT,0.01,1899485.5346159,17752.89,0,105.65000000,6.08948000,105.86000000,5.57423000,2019-07-01T04:52:50.537708
True,0.0,17774.44758,ZEC,Zcash,,105.44,8,111.90,-1,103.00,USDT,USDT,STANDARD,1e-08,1e-05,111.34,USDⓈ,USDⓈ,111.34,,USDT,TetherUS,,TRADING,ZECUSDT,0.01,1901692.8822604,17774.45,0,105.51000000,0.59383000,105.75000000,2.93778000,2019-07-01T04:58:15.990657
True,0.0,17831.45453,ZEC,Zcash,,105.75,8,111.90,-1,103.00,USDT,USDT,STANDARD,1e-08,1e-05,110.80,USDⓈ,USDⓈ,110.8,,USDT,TetherUS,,TRADING,ZECUSDT,0.01,1907724.1435171,17831.46,0,105.39000000,0.94880000,105.69000000,5.03771000,2019-07-01T05:03:40.747780
True,0.0,17824.84197,ZEC,Zcash,,105.70,8,111.90,-1,103.00,USDT,USDT,STANDARD,1e-08,1e-05,110.74,USDⓈ,USDⓈ,110.74,,USDT,TetherUS,,TRADING,ZECUSDT,0.01,1906918.0870306,17824.85,0,105.56000000,0.00002000,105.70000000,0.00024000,2019-07-01T05:09:05.523550
True,0.0,17817.49053,ZEC,Zcash,,105.74,8,111.90,-1,103.00,USDT,USDT,STANDARD,1e-08,1e-05,111.03,USDⓈ,USDⓈ,111.03,,USDT,TetherUS,,TRADING,ZECUSDT,0.01,1906095.3822199,17817.50,0,105.56000000,0.00002000,105.72000000,4.26714000,2019-07-01T05:14:29.634335
True,0.0,17777.16542,ZEC,Zcash,,105.53,8,111.90,-1,103.00,USDT,USDT,STANDARD,1e-08,1e-05,110.89,USDⓈ,USDⓈ,110.89,,USDT,TetherUS,,TRADING,ZECUSDT,0.01,1901361.7330625,17777.17,0,105.31000000,0.62325000,105.52000000,3.14330000,2019-07-01T05:19:53.868096
True,0.0,17783.75895,ZEC,Zcash,,105.56,8,111.90,-1,103.00,USDT,USDT,STANDARD,1e-08,1e-05,111.00,USDⓈ,USDⓈ,111.0,,USDT,TetherUS,,TRADING,ZECUSDT,0.01,1902053.7553896,17783.76,0,105.30000000,5.74696000,105.52000000,11.31902000,2019-07-01T05:25:20.751285
True,0.0,17728.45634,ZEC,Zcash,,105.07,8,111.90,-1,103.00,USDT,USDT,STANDARD,1e-08,1e-05,111.00,USDⓈ,USDⓈ,111.0,,USDT,TetherUS,,TRADING,ZECUSDT,0.01,1895851.439015,17728.46,0,105.07000000,0.00024000,105.23000000,3.11630000,2019-07-01T05:30:44.842063
