active,activeBuy,activeSell,baseAsset,baseAssetName,baseAssetUnit,close,decimalPlaces,high,lastAggTradeId,low,market,marketName,matchingUnitType,minQty,minTrade,open,parentMarket,parentMarketName,prevClose,productType,quoteAsset,quoteAssetName,quoteAssetUnit,status,symbol,tickSize,tradedMoney,volume,withdrawFee,bidPrice,bidQty,askPrice,askQty,timestamp
True,0.0,1804133.58,ZRX,0x,,0.3028,8,0.3201,-1,0.2972,USDT,USDT,STANDARD,1e-08,0.01,0.3199,USDⓈ,USDⓈ,0.3199,,USDT,TetherUS,,TRADING,ZRXUSDT,0.0001,553682.695122,1804133.5800,0,0.30240000,9.76000000,0.30340000,845.01000000,2019-07-01T03:31:45.853045
True,0.0,1807892.88,ZRX,0x,,0.3021,8,0.3197,-1,0.2972,USDT,USDT,STANDARD,1e-08,0.01,0.3187,USDⓈ,USDⓈ,0.3187,,USDT,TetherUS,,TRADING,ZRXUSDT,0.0001,554808.931148,1807892.8800,0,0.30140000,904.54000000,0.30230000,794.04000000,2019-07-01T03:37:09.420003
True,0.0,1789356.25,ZRX,0x,,0.3015,8,0.3197,-1,0.2972,USDT,USDT,STANDARD,1e-08,0.01,0.3182,USDⓈ,USDⓈ,0.3182,,USDT,TetherUS,,TRADING,ZRXUSDT,0.0001,548909.038481,1789356.2500,0,0.30150000,415.33000000,0.30260000,697.82000000,2019-07-01T03:42:34.912820
True,0.0,1789356.25,ZRX,0x,,0.3015,8,0.3197,-1,0.2972,USDT,USDT,STANDARD,1e-08,0.01,0.3182,USDⓈ,USDⓈ,0.3182,,USDT,TetherUS,,TRADING,ZRXUSDT,0.0001,548909.038481,1789356.2500,0,0.30280000,797.87000000,0.30410000,715.83000000,2019-07-01T03:47:59.837101
True,0.0,1768621.27,ZRX,0x,,0.3035,8,0.3197,-1,0.2972,USDT,USDT,STANDARD,1e-08,0.01,0.3173,USDⓈ,USDⓈ,0.3173,,USDT,TetherUS,,TRADING,ZRXUSDT,0.0001,542282.540489,1768621.2700,0,0.30280000,2815.11000000,0.30470000,333.51000000,2019-07-01T03:53:23.687655
True,0.0,1768735.09,ZRX,0x,,0.3036,8,0.3197,-1,0.2972,USDT,USDT,STANDARD,1e-08,0.01,0.3170,USDⓈ,USDⓈ,0.317,,USDT,TetherUS,,TRADING,ZRXUSDT,0.0001,542315.461793,1768735.0900,0,0.30330000,815.65000000,0.30460000,6561.67000000,2019-07-01T03:58:48.626384
True,0.0,1769627.89,ZRX,0x,,0.3054,8,0.3197,-1,0.2972,USDT,USDT,STANDARD,1e-08,0.01,0.3171,USDⓈ,USDⓈ,0.3171,,USDT,TetherUS,,TRADING,ZRXUSDT,0.0001,542500.017279,1769627.8900,0,0.30440000,516.02000000,0.30530000,521.33000000,2019-07-01T04:04:13.119400
True,0.0,1781582.59,ZRX,0x,,0.3055,8,0.3197,-1,0.2972,USDT,USDT,STANDARD,1e-08,0.01,0.3171,USDⓈ,USDⓈ,0.3171,,USDT,TetherUS,,TRADING,ZRXUSDT,0.0001,546159.430381,1781582.5900,0,0.30450000,2987.76000000,0.30580000,651.77000000,2019-07-01T04:09:38.967925
True,0.0,1774975.18,ZRX,0x,,0.3048,8,0.3197,-1,0.2972,USDT,USDT,STANDARD,1e-08,0.01,0.3175,USDⓈ,USDⓈ,0.3175,,USDT,TetherUS,,TRADING,ZRXUSDT,0.0001,544031.057452,1774975.1800,0,0.30420000,952.68000000,0.30480000,1488.51000000,2019-07-01T04:15:02.241015
True,0.0,1787094.39,ZRX,0x,,0.3046,8,0.3197,-1,0.2972,USDT,USDT,STANDARD,1e-08,0.01,0.3182,USDⓈ,USDⓈ,0.3182,,USDT,TetherUS,,TRADING,ZRXUSDT,0.0001,547702.665557,1787094.3900,0,0.30400000,516.25000000,0.30480000,1541.48000000,2019-07-01T04:20:25.700467
True,0.0,1790258.67,ZRX,0x,,0.3053,8,0.3197,-1,0.2972,USDT,USDT,STANDARD,1e-08,0.01,0.3163,USDⓈ,USDⓈ,0.3163,,USDT,TetherUS,,TRADING,ZRXUSDT,0.0001,548666.321491,1790258.6700,0,0.30400000,1090.84000000,0.30540000,2876.15000000,2019-07-01T04:25:49.281416
True,0.0,1790363.5,ZRX,0x,,0.3056,8,0.3197,-1,0.2972,USDT,USDT,STANDARD,1e-08,0.01,0.3183,USDⓈ,USDⓈ,0.3183,,USDT,TetherUS,,TRADING,ZRXUSDT,0.0001,548695.44304,1790363.5000,0,0.30440000,489.80000000,0.30570000,2360.67000000,2019-07-01T04:31:13.431888
